DCCN0060000,CD  6 G/M
INRP0503800,RIODIN XE 50X380 MM (1136 GRS)
INRP0605600,RIODIN XE 60X560 (2300 GRS)
INRP0654950,RIODIN XE 65X495 MM (2500 GRS)
INRP0705350,RIODIN XE 70X535 MM (3125 GRS)
INRP0805450,RIODIN XE 80X545 MM (4.167 GRS)
INRP0905200,RIODIN XE 90X520 MM (5000 GRS)
IPC10010000,RIOPOL (POLVORA DE MINA Nº1)
IPC1001000E,RIOPOL (EXP)
IPC1001000I,POLVORA DE MINA Nº 1 ITALIA
IPC1001025E,Polvora negra de mina No 1. ; 10 x 2,5 kg
IPC10012400,POLVORA DE MINA ENCART. 18X240
IPC1018480E,POLVORA DE MINA ENCART. 18X480 EXPORTACION
IPC1018480I,POLVORA DE MINA ENCART.18x480
IPS12SP0022,Pólvora PSB+2SP embalada (25kg)
ISR2022000D,DYNOPRE 22X60
ISR2045000D,DYNOPRE 45X14
ISR2045315D,DYNOPRE 45x31,5 M
ISRF0170800,RIOGUR F-CD 6 17X80
ISRF0220600,RIOGUR F-CD 6 22x60
ISRF0260400,RIOGUR F-CD 6 26x40
ISRF0320280,RIOGUR F-CD 6 32x28
M337PG3B050,EXPLOSIVO PLASTICO PG-3 EN BLOQUE DE 500 GRAMOS
PMSGH50190A,RIOSEIS HE (GH) 50x190 MM (01PLASTIC SHELL 500G) (01BOX 20KG)
SBB10000000,RIOBOOSTERS INERTES
SBB10260000,MULTIPLICADOR SISMICA PTNE 26 GR
SBB11500000,MULTIPLICADOR PENTOLITA 150 GRS.
SBB1150000G,MULTIPLICADOR PENTOLITA  150 GRS DET
SBB12500000,MULTIPLICADOR PENTOLITA 250 GRS.
SBB1250000G,MULTIPLICADOR PENTOLITA  250 GRS DET
SBB14000000,MULTIPLICADOR PENTOLITA 400 GRS.
SBB14500000,MULTIPLICADOR PENTOLITA 450 GRS.
SBB1450000G,MULTIPLICADOR PENTOLITA  450 GRS DET
SBB1450000T,MULTIPLICADOR PENTOLITA  450 GRS TWINPLEX
SBB1500000S,BOOSTER SISMICO 0,5 KG
SBB18000000,MULTIPLICADOR PENTOLITA 800 GRS.
SBB1999000S,BOOSTER SISMICO 1 KG
SBBC0100100,CARGA DE CORTE LINEAL CCL-10-100
SBBC0100200,CARGA DE CORTE LINEAL CCL-10-200
SBBC0300100,CARGA DE CORTE LINEAL CCL-30-100
SBBC0300200,CARGA DE CORTE LINEAL CCL-30-200
SBBC0500100,CARGA DE CORTE LINEAL CCL-50-100
