32410,209SPF	Det. No Elec. 10,2 mt. Nº 09 Daveynel SP con J-Hook
32410,210SPF	Det. No Elec. 10,2 mt. Nº 10 Daveynel SP con J-Hook
32410,211SPF	Det. No Elec. 10,2 mt. Nº 11 Daveynel SP con J-Hook
32410,212SPF	Det. No Elec. 10,2 mt. Nº 12 Daveynel SP con J-Hook
32410,213SPF	Det. No Elec. 10,2 mt. Nº 13 Daveynel SP con J-Hook
32410,214SPF	Det. No Elec. 10,2 mt. Nº 14 Daveynel SP con J-Hook
32410,215SPF	DET NE JH OG 10M2 SP15 SP2 1B
32410,216SPF	DET NE JH OG 10M2 SP16 SP2 1B
32410,217SPF	DET NE JH OG 10M2 SP17 SP2 1B
32410,218F	DETO DAVII 10M20 SP 18 1B
32410,218SPF	DET NE JH OG 10M2 SP18 SP2 1B
32410,219F	DETO DAVII 10M20 SP 19 1B
32410,219SPF	DET NE JH OG 10M2 SP19 SP2 1B
32410,220F	DETO DAVII 10M20 SP 20 1B
32410,220SPF	DET NE JH OG 10M2 SP20 SP2 1B
32410,224F	Det no elec 10.2 M Nº 24 FR LP 06
32412017F	DETO DAVII  12M SP 17 1B
32412018F	DETO DAVII 12M SP 18 1B
32412019F	DETO DAVII 12M SP 19 1B
32412020F	DETO DAVII  12M SP 20 1B
32412020F.	Det no elec 12 M Nº 20 Daveynel
32415018F	DETO DAVII 15M SP 18 1B
32415018U	Det no elec 15 M Nº 18 Rionel MS
32415019F	DETO DAVII 15M SP 19 1B
32415020F	DETO DAVII 15M SP 20 1B
32415020R	Det no elec 15 M Nº 20 Exel
32415020U	Det no elec 15 M Nº 20 Primadet/Rionel MS
32415022U	Det no elec 15 M Nº 22  MS 05 Rionel
32415024F	Det no elec 15 M Nº 24 LP 06
32415028F	Det no elec 15 M Nº 28  LP 07
32415032F	Det no elec 15 M Nº 32 FR. LP 08
32418012U	Det no elec 18 M Nº 12 Primadet/Rionel MS
32418016U	Det no elec 18 M Nº 16 Primadet/Rionel MS
32418020F	DETO DAVII 18M SP 20 1B
32418020U	Det no elec 18 M Nº 20 Primadet/Rionel MS
32418021U	Det no elec 18 M Nº 21 Primadet/Rionel MS
32419,816F	Det no elec 19,8 M Nº 16 FR. Daveynel
32421001F	Det no elec 21 M Nº 1 Daveynel  40 U/Caja
32421002F	Det no elec 21 M Nº 2 Daveynel  40 U/Caja
32421003F	Det no elec 21 M Nº 3 Daveynel  40 U/Caja
